,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF ID,Remote/Onsite,Primary Work Month,Time Zone,Task ID,Company,"Executive 
Sponsor",Project Lead,Project Support,NVA ,Billing/Set Up,Products,Status,Next Steps,Contract Signed,SRA Enabled,SRA Kickoff (SRA),Receive Policies and Procedures/BAA (SRA),Review Policies and Procedures (SRA),Schedule Onsite/Remote Interview (SRA),Go Onsite/Have Interview (SRA),Recieve Requested Follow up Documentation (SRA),Review SRA (SRA),Schedule Final SRA Report (SRA),Present Final SRA Report (SRA),NVA Enabled,NVA Kickoff (NVA),Receive Network Security Platform,Receive Credentials (NVA),Verify Access (NVA),Execute External Scan,Execute Dark Web Scan,Install Nessus,Execute Internal Scan,AdTidy,SpecOps,Nmap Scan,Scans Completed (NVA),Access Removed (NVA),Compile Report (NVA),Schedule Final NVA Report (NVA),Present Final NVA Report (NVA),Total Days,P+P Days,Wrap Up Days,NVA Access,NVA Scans Complete,NVA Wrap Up Days,Kickoff + 30 days,ACD,Disparity,Kickoff + 28 days,ACD,Disparity,
3437,,,,,HRH,Joe,Joe,Rachel,,Billed/Set Up,SRA (Renewal),On Track,DONE,8/11/2022,,8/30/22,9/12/22,9/26/22,9/7/22,9/29/22,Not Applicable,12/7/22,12/7/22,12/7/22,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,85,11,50,,,,9/27/2022,12/7/2022,71,,,,
5119,,,,,MHC Healthcare,Amanda,Amanda,James,,Billed/Set Up,SRA+NVA (Renewal),On Track,DONE,2/10/2022,,2/28/22,5/4/22,5/5/22,4/26/22,6/14/22,Not Applicable,7/6/22,7/6/22,7/6/22,,2/28/22,7/12/22,7/18/22,NA,10/25/2022,10/25/2022,10/25/2022,10/25/2022,10/25/2022,10/25/2022,10/25/2022,,,11/9/2022,12/8/2022,12/15/2022,105,2,17,,,,3/28/2022,7/6/2022,100,3/28/2022,12/15/2022,262,
3757,,,,,Imperial Health,Joe,Joe,Rachel,,Billed/Set Up,SRA+NVA (Renewal),On Track,DONE,9/19/2022,,9/26/22,9/26/22,10/8/22,9/26/22,11/10/22,Not Applicable,12/16/22,12/12/22,12/16/22,,9/26/22,10/7/22,10/10/22,NA,11/1/2022,11/2/2022,11/1/2022,11/11/2022,11/1/2022,11/1/2022,11/11/2022,,,11/11/2022,12/12/2022,12/16/2022,65,10,27,,,,10/24/2022,12/16/2022,53,10/24/2022,12/16/2022,53,
5361,,,,,Seattle Rheumatology,Joe,Joe,Rachel,,Billed/Set Up,SRA (Renewal),On Track,DONE,9/7/2022,,9/7/22,9/7/22,9/7/22,9/7/22,9/30/22,Not Applicable,12/20/22,12/20/22,12/20/22,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,75,1,58,,,,10/5/2022,12/20/2022,76,,,,
8727,,,,,Federal Way Naturopathy,Joe,Joe,Rachel,,Billed/Set Up,SRA (Renewal),On Track,DONE,9/21/2022,,9/21/22,9/21/22,9/21/22,9/21/22,9/27/22,Not Applicable,12/20/22,12/20/22,12/20/22,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,65,1,61,,,,10/19/2022,12/20/2022,62,,,,
9235,,,,,"Reserve Health, PC",Amanda,Amanda,James,,Billed/Set Up,SRA,On Track,DONE,10/31/2022,,11/22/22,11/22/22,12/5/22,11/11/22,12/9/22,Not Applicable,12/28/22,12/19/22,12/28/22,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,27,10,14,,,,12/20/2022,12/28/2022,8,,,,
9119,,,,,Weil Foot & Ankle Institute,Joe,Joe,Rachel,,Billed/Set Up,SRA,On Track,DONE,10/12/2022,,10/19/22,11/15/22,12/5/22,10/19/22,12/9/22,Not Applicable,12/28/22,12/22/22,12/28/22,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,51,15,14,,,,11/16/2022,12/28/2022,42,,,,
,,,,,Totals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,5,23,,,,,,39,,,86,
,,,,,2022 Average Numbers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,4,20,,,,,,,,,,
,,,,,Q1 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9317,,,,,The Spine Institute,Amanda,Jordan,Jordan,,Billed/Set Up,SRA,On Track,DONE,11/30/2022,,11/30/22,12/1/22,12/13/22,12/12/22,12/15/22,Not Applicable,12/28/22,12/28/22,1/3/23,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,25,9,10,,,,12/28/2022,1/3/2023,6,,,,
3758,,,,,Palouse Specialty Physicians,Amanda,Jordan,Jordan,,Billed/Set Up,SRA,On Track,DONE,9/30/2022,,10/6/22,10/17/22,10/28/22,11/22/22,12/6/22,Not Applicable,12/23/22,12/27/22,1/3/23,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,68,10,14,,,,11/3/2022,1/3/2023,61,,,,
9350,,,,,The Pain Center of Arizona,Amanda,Jordan,Rachel,,Billed/Set Up,SRA,On Track,DONE,12/15/2022,,12/15/22,12/19/22,12/20/22,12/19/22,12/28/22,Not Applicable,12/29/22,1/3/23,1/4/23,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,15,2,2,,,,1/12/2023,1/4/2023,-8,,,,
8779,,,,,Martinsville-Henry County Coalition For Health & Wellness,Amanda,Jordan,Jordan,,Billed/Set Up,SRA,On Track,DONE,10/27/2022,,10/31/22,11/15/22,11/21/22,11/10/22,11/30/22,Not Applicable,12/23/22,1/3/23,1/5/23,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,51,5,18,,,,11/28/2022,1/5/2023,38,,,,
5794,,,,,The Neurology Center,Joe,Joe,Jordan,,Billed/Set Up,SRA (Renewal),On Track,DONE,8/31/2022,,9/6/22,10/14/22,10/17/22,10/18/22,10/19/22,Not Applicable,12/23/22,12/28/22,1/5/23,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,92,2,48,,,,10/4/2022,1/5/2023,93,,,,
8995,,,,,NATIVE Health of Phoenix,Amanda,Amanda,Jordan,NA,Billed/Set Up,SRA,On Track,DONE,11/9/2022,,11/22/22,12/1/22,12/16/22,11/22/22,12/20/22,Not Applicable,12/30/22,1/4/23,1/10/23,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,45,12,9,,,,12/20/2022,1/10/2023,21,,,,
9321,,,,,Western Cardiothoracic Surgeons PC,Amanda,Amanda,Jordan,NA,Billed/Set Up,SRA,On Track,DONE,12/8/2022,,12/8/22,NA,NA,12/8/22,12/21/22,Not Applicable,1/16/23,12/21/22,1/17/23,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,29,NA,19,,,,1/5/2023,1/17/2023,12,,,,
5791,,,,,TUHS (Temple University Health System),Amanda,Amanda,Jordan,NA,Billed/Set Up,SRA,On Track,DONE,,,,,,,,Not Applicable,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,105,13,0,,,,1/27/1900,,-28,,,,
5754,,,,,Maier MD Rheumatology (Renewal),Amanda,Amanda,Jordan,Vilay,Billed/Set Up,SRA+NVA (Renewal),On Track,DONE,9/29/2022,,10/3/22,10/3/22,10/3/22,10/3/22,10/21/22,Not Applicable,10/28/22,10/28/22,11/1/22,,10/4/22,10/4/22,10/4/22,NA,12/8/2022,11/2/2022,12/8/2022,12/8/2022,12/8/2022,12/8/2022,12/8/2022,,,12/21/2022,1/17/2023,1/24/2023,24,1,6,,,,10/31/2022,11/1/2022,1,11/1/2022,1/24/2023,84,
3439,,,,,GBMC,Joe,Amanda,Jordan,NA,Billed/Set Up,SRA,On Track,DONE,,,,,,,,Not Applicable,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,75,4,0,,,,1/27/1900,,-28,,,,
5776,,,,,Bone & Joint,Amanda,Amanda,Jordan,Vilay,Billed/Set Up,SRA+NVA (Renewal),On Track,DONE,8/31/2022,,9/16/22,9/30/22,9/30/22,9/22/22,11/3/22,Not Applicable,12/1/22,12/5/22,12/16/22,,9/16/22,9/30/22,10/7/22,NA,10/31/2022,10/31/2022,10/27/2022,12/23/2022,10/31/2022,12/23/2022,12/23/2022,,,12/28/2022,1/29/2023,1/30/2023,78,1,21,,,,10/14/2022,12/16/2022,63,10/14/2022,1/30/2023,108,
5763,,,,,Diasyst,Joe,Joe,Jordan,NA,Billed/Set Up,SRA (Renewal),On Track,DONE,6/27/2022,,7/6/22,10/3/22,10/14/22,11/1/22,11/1/22,Not Applicable,1/31/23,1/31/23,1/31/23,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,157,10,66,,,,8/3/2022,1/31/2023,181,,,,
9320,,,,,"Phoenix Cardiac Surgery, P.C.",Amanda,Amanda,Jordan,NA,Billed/Set Up,SRA,On Track,DONE,1/3/2023,,1/3/23,1/4/23,1/5/23,Not Applicable,1/17/23,Not Applicable,2/3/23,1/26/23,2/7/23,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,Not Applicable,Not Applicable,Not Applicable,26,2,14,NA,NA,NA,1/31/2023,2/7/2023,7,,,,
5779,,,,,Weiser Memorial Hospital,Amanda,Amanda,Jordan,Vilay,Billed/Set Up,SRA+NVA (Renewal),On Track,DONE,10/5/2022,,10/10/22,Not Applicable,Not Applicable,10/10/22,11/9/22,Not Applicable,12/31/22,2/6/23,2/8/23,,10/10/22,1/10/23,1/16/23,Not Applicable,1/18/2023,1/18/2023,1/18/2023,1/18/2023,1/18/2023,1/18/2023,1/18/2023,,,2/2/2023,2/6/2023,2/8/2023,91,NA,38,71,3,12,11/7/2022,2/8/2023,93,11/7/2022,2/8/2023,93,
8749,,,,,"Abigail R. Neiman, M.D., P.A. (Remote)",Amanda,Amanda,James,NA,Billed/Set Up,SRA,On Track,DONE,7/8/2022,,7/18/22,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1/28/23,Not Applicable,1/28/23,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,Not Applicable,Not Applicable,Not Applicable,146,,,NA,NA,NA,8/15/2022,1/28/2023,166,,,,
8741,,,,,The Rose,Joe,Joe,Jordan,Vilay,Billed/Set Up,SRA+NVA (Renewal),On Track,DONE,10/24/2022,,10/31/22,12/5/22,12/7/22,11/1/22,12/14/22,Not Applicable,12/22/22,12/22/22,12/22/22,,10/31/22,11/15/22,11/15/22,Not Applicable,2/14/2023,12/27/2022,12/27/2022,12/27/2022,12/27/2022,12/27/2022,12/27/2022,,,2/3/2023,2/2/2023,2/15/2023,44,3,7,12,31,29,11/28/2022,12/22/2022,24,11/28/2022,2/15/2023,79,
8473,,,,,NW Brain & Spine,Amanda,Amanda,Jordan,NA,Billed/Set Up,SRA (Renewal),On Track,DONE,8/29/2022,,10/6/22,Not Applicable,Not Applicable,10/6/22,11/10/22,Not Applicable,1/11/23,2/8/23,2/15/23,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,Not Applicable,Not Applicable,Not Applicable,123,NA,45,NA,NA,NA,11/3/2022,2/15/2023,104,,,,
9273,,,,,Yakutat Community Health Center,Joe,Joe,Jordan,Rachel,Billed/Set Up,SRA+NVA,On Track,DONE,10/31/2022,,11/22/22,12/5/22,1/10/23,11/14/22,1/19/23,Not Applicable,2/24/23,2/14/23,2/24/23,,10/31/22,1/10/23,1/25/23,1/26/23,2/14/2023,1/16/2023,1/30/2023,2/2/2023,2/16/2023,2/16/2023,2/16/2023,,,2/24/2023,2/14/2023,2/24/2023,85,27,27,64,16,7,12/20/2022,2/24/2023,66,11/28/2022,2/24/2023,88,
8503,,,,,VBCare,Joe,Rachel,NA,Vilay,Billed/Set Up,NVA,On Track,DONE,11/4/2022,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,12/21/22,1/13/23,1/24/23,Not Applicable,1/29/2023,1/29/2023,1/29/2023,1/29/2023,1/29/2023,1/29/2023,1/29/2023,,,2/21/2023,2/22/2023,3/1/2023,51,NA,NA,NA,NA,17,,,,1/18/2023,3/1/2023,42,
3515,,,,,Medman MSO (Remote),Amanda,Jordan,NA,NA,Billed/Set Up,SRA,On Track,DONE,1/23/2023,,2/2/23,2/2/23,2/6/23,2/2/23,2/22/23,Not Applicable,2/28/23,2/28/23,3/6/23,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,Not Applicable,Not Applicable,Not Applicable,23,3,5,NA,NA,NA,3/2/2023,3/6/2023,4,,,,
5782,,,,,Hinet,Amanda,Jordan,Jordan,Vilay,Billed/Set Up,SRA+NVA (Renewal),On Track,DONE,9/12/2022,,9/27/22,Not Applicable,Not Applicable,11/18/22,11/18/22,Not Applicable,12/23/22,12/23/22,12/23/22,,9/27/22,11/18/22,1/6/23,2/8/23,2/15/2023,2/15/2023,2/15/2023,2/15/2023,2/15/2023,3/6/2023,2/15/2023,,,3/10/2023,3/13/2023,3/17/2023,64,NA,26,97,6,18,10/25/2022,12/23/2022,59,10/25/2022,3/17/2023,143,
8459,,,,,MD EMR Systems (Remote),Joe,Jordan,Jordan,NA,Billed/Set Up,SRA (Renewal),On Track,DONE,1/25/2023,,2/10/23,2/10/23,2/14/23,2/10/23,3/9/23,Not Applicable,3/24/23,3/29/23,3/31/23,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,Not Applicable,Not Applicable,Not Applicable,36,3,12,NA,NA,NA,3/10/2023,3/31/2023,21,,,,
,,,,,Totals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,7,19,61,14,17,,,46,,,91,
,,,,,Q2 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/27/1900,,-28,,,,
9223,,,,,Center for Lifetime Health,Joe,Jordan,Jordan,NA,Billed/Set Up,SRA,On Track,DONE,1/20/2023,,1/25/23,2/17/23,2/21/23,2/2/23,3/22/23,Not Applicable,4/7/23,4/11/23,4/17/23,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,Not Applicable,Not Applicable,Not Applicable,59,3,13,NA,NA,NA,2/22/2023,4/17/2023,54,,,,
5957,,,,,Plexis (Remote),Amanda,Jordan,Jordan,NA,Billed/Set Up,SRA (Renewal),On Track,DONE,1/23/2023,,1/31/23,2/15/23,2/16/23,2/21/23,3/10/23,Not Applicable,4/7/23,4/19/23,4/21/23,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,Not Applicable,Not Applicable,Not Applicable,65,2,21,NA,NA,NA,2/28/2023,4/21/2023,52,,,,
3754,,,,,Treasure Valley Family Medicine,Joe,Jordan,Jordan,NA,Billed/Set Up,SRA (Renewal),On Track,DONE,2/2/2023,,2/13/23,2/13/23,2/13/23,2/13/23,3/23/23,Not Applicable,4/19/23,4/21/23,4/27/23,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,Not Applicable,Not Applicable,Not Applicable,61,1,20,NA,NA,NA,3/13/2023,4/27/2023,45,,,,
6094,,,,,Coding Concepts,Amanda,Rachel,NA,Rachel,Billed/Set Up,NVA (Renewal),On Track,DONE,6/16/2022,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,6/23/22,12/23/22,12/20/22,4/3/23,1/6/2023,1/6/2023,4/7/2023,4/7/2023,Not Applicable,Not Applicable,Not Applicable,,,5/1/2023,5/1/2023,5/1/2023,223,NA,NA,129,5,17,,,,7/21/2022,5/1/2023,284,
5119,,,,,MHC Healthcare,Amanda,Amanda,Jordan,NA,Billed/Set Up,SRA (Renewal),On Track,DONE,1/27/2023,,2/1/23,2/1/23,2/13/23,2/3/23,4/12/23,Not Applicable,5/10/23,4/28/23,5/15/23,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,Not Applicable,Not Applicable,Not Applicable,77,9,21,NA,NA,NA,3/1/2023,5/15/2023,75,,,,
8985,,,,,Yale,Joe,Amanda,Jordan,NA,Billed/Set Up,SRA,On Track,DONE,,,,,,,,Not Applicable,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,Not Applicable,Not Applicable,Not Applicable,140,47,44,NA,NA,NA,1/27/1900,,-28,,,,
7600,,,,,American HealthCare,Joe,Joe,Jordan,R/V,Billed/Set Up,SRA+NVA,On Track,DONE,12/29/2022,,1/24/23,1/11/23,1/25/23,1/31/23,3/15/23,Not Applicable,5/24/23,4/21/23,5/24/23,,1/24/23,2/16/23,2/27/23,3/3/23,3/6/2023,3/6/2023,3/6/2023,3/6/2023,3/6/2023,3/6/2023,3/6/2023,,,3/29/2023,4/21/2023,5/24/2023,105,11,51,29,2,18,2/21/2023,5/24/2023,92,2/21/2023,5/24/2023,92,
5996,,,,,Senderra RX,Amanda,Amanda,Jordan,NA,Billed/Set Up,SRA (Renewal),On Track,DONE,1/20/2023,,1/24/23,1/23/23,1/30/23,1/25/23,3/21/23,Not Applicable,5/16/23,5/10/23,5/25/23,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,Not Applicable,Not Applicable,Not Applicable,90,6,41,NA,NA,NA,2/21/2023,5/25/2023,93,,,,
 ,,,,,Bone & Joint Clinic of Baton Rouge,Joe,Joe,Rachel,Rachel,Billed/Set Up,SRA+NVA (Renewal),On Track,DONE,2/1/2023,,2/24/23,Not Applicable,Not Applicable,2/28/23,4/27/23,Not Applicable,5/24/23,5/10/23,5/24/23,,2/24/23,3/2/23,3/6/23,3/7/23,3/20/2023,3/20/2023,3/7/2023,3/23/2023,3/27/2023,3/27/2023,3/27/2023,,,3/3/2023,5/10/2023,5/24/2023,81,NA,20,8,15,-17,3/24/2023,5/24/2023,61,3/24/2023,5/24/2023,61,
9196,,,,,Recovery Beyond (Remote),Amanda,Jordan,Jordan,NA,Billed/Set Up,SRA,On Track,DONE,2/17/2023,,3/9/23,2/21/23,3/2/23,3/9/23,5/4/23,Not Applicable,5/9/23,5/10/23,5/23/23,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,Not Applicable,Not Applicable,Not Applicable,68,8,4,NA,NA,NA,4/6/2023,5/23/2023,47,,,,
5947,,,,,Medication Review,Joe,Jordan,Jordan,NA,Billed/Set Up,SRA (Renewal),On Track,DONE,2/28/2023,,4/13/23,Not Applicable,Not Applicable,4/13/23,5/11/23,Not Applicable,5/19/23,5/18/23,5/25/23,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,Not Applicable,Not Applicable,Not Applicable,63,NA,7,NA,NA,NA,5/11/2023,5/25/2023,14,,,,
8891,,,,,Creek Valley Health Clinic,Joe,Rachel,NA,Rachel,Billed/Set Up,NVA (Renewal),On Track,DONE,3/29/2023,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,4/5/23,4/17/23,4/19/23,4/19/23,5/2/2023,5/2/2023,5/2/2023,5/4/2023,5/5/2023,5/5/2023,5/5/2023,,,5/16/2023,5/17/2023,5/24/2023,36,NA,NA,11,13,8,,,,5/3/2023,5/24/2023,21,
6174,,,,,Kids Clinic,Joe,Jordan,Jordan,NA,Billed/Set Up,SRA (Renewal),On Track,DONE,4/12/2023,,4/21/23,4/24/23,5/12/23,4/24/23,5/16/23,Not Applicable,5/25/23,5/19/23,5/30/23,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,Not Applicable,Not Applicable,Not Applicable,35,15,8,NA,NA,NA,5/19/2023,5/30/2023,11,,,,
6083,,,,,Tillman Medical Center,Joe,Joe,Rachel,NA,Billed/Set Up,SRA (Renewal),On Track,DONE,4/19/2023,,4/20/23,Not Applicable,Not Applicable,4/20/23,4/28/23,Not Applicable,6/6/23,6/6/23,6/6/23,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,Not Applicable,Not Applicable,Not Applicable,34,NA,28,NA,NA,NA,5/18/2023,6/6/2023,19,,,,
6119,,,,,"Embright, LLC (Remote)",Amanda,Jordan,Jordan,Rachel,Billed/Set Up,SRA+NVA (Renewal),On Track,DONE,3/21/2023,,4/5/23,5/5/23,5/12/23,5/8/23,6/2/23,Not Applicable,6/7/23,6/14/23,6/28/23,,4/21/23,4/21/23,5/8/23,5/9/23,5/9/2023,5/17/2023,5/9/2023,5/9/2023,NA,NA,5/17/2023,,,6/13/2023,6/14/2023,6/28/2023,61,6,4,13,7,20,5/3/2023,6/28/2023,56,5/19/2023,6/28/2023,40,
8728,,,,,"Chiricahua Community Health Centers, Inc.",Joe,Joe,Rachel,Rachel,Billed/Set Up,SRA+NVA (Renewal),On Track,DONE,3/13/2023,,3/23/23,3/13/23,4/10/23,3/23/23,4/12/23,Not Applicable,6/16/23,6/20/23,6/30/23,,3/23/23,4/25/23,6/1/23,6/2/23,6/2/2023,NA,6/2/2023,6/12/2023,6/16/2023,6/16/2023,6/16/2023,,,6/21/2023,6/20/2023,6/30/2023,72,21,48,52,11,4,4/20/2023,6/30/2023,71,4/20/2023,6/30/2023,71,
9571,,,,,Allele Diagnostics,Joe,Jordan,Terri,Vilay,Billed/Set Up,SRA+NVA,On Track,DONE,5/5/2023,,5/10/23,5/19/23,5/30/23,5/10/23,6/6/23,Not Applicable,6/16/23,6/13/23,6/30/23,,5/10/23,5/19/23,5/19/23,5/24/23,5/25/2023,5/25/2023,5/25/2023,5/25/2023,5/25/2023,5/25/2023,5/25/2023,,,6/2/2023,6/13/2023,6/30/2023,38,8,9,11,2,7,6/7/2023,6/30/2023,23,6/7/2023,6/30/2023,23,
,,,,,Totals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,11,23,36,8,8,,,41,,,115,
,,,,,Q3 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6008,,,,,Keena Healthcare Technology (Remote),Joe,Jordan,Terri,NA,Billed/Set Up,SRA (Renewal),On Track,DONE,5/1/2023,,5/12/23,5/12/23,5/16/23,5/16/23,5/31/23,Not Applicable,6/30/23,7/3/23,7/20/23,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,Not Applicable,Not Applicable,Not Applicable,50,3,23,NA,NA,NA,6/9/2023,7/20/2023,41,,,,
3422,,,,,Frontier Behavioral Health,Amanda,Amanda,Jordan,NA,Billed/Set Up,SRA (Renewal),On Track,DONE,2/1/2023,,3/13/23,3/16/23,4/26/23,5/10/23,6/9/23,Not Applicable,7/24/23,7/11/23,7/24/23,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,Not Applicable,Not Applicable,Not Applicable,96,30,32,NA,NA,NA,4/10/2023,7/24/2023,105,,,,
5630,,,,,Western Washington Medical Group (Remote),Joe,Joe,Jordan,Vilay,Billed/Set Up,SRA+NVA,On Track,DONE,2/10/2023,,3/31/23,3/31/23,4/28/23,6/8/23,7/19/23,Not Applicable,7/19/23,7/19/23,7/26/23,,3/31/23,NA,NA,NA,2/28/2023,2/28/2023,2/28/2023,2/28/2023,2/28/2023,2/28/2023,2/28/2023,,,5/5/2023,7/19/2023,7/26/2023,84,21,1,NA,NA,49,4/28/2023,7/26/2023,89,4/28/2023,7/26/2023,89,
9006,,,,,North Cascade Cancer Center (Remote),Joe,Jordan,Terri,NA,Billed/Set Up,SRA (Renewal),On Track,DONE,5/9/2023,,5/17/23,5/17/23,5/30/23,5/24/23,6/22/23,Not Applicable,7/10/23,7/13/23,7/27/23,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,Not Applicable,Not Applicable,Not Applicable,52,10,13,NA,NA,NA,6/14/2023,7/27/2023,43,,,,
5163,,,,,NEW Health,Joe,Joe,Jordan,Rachel,Billed/Set Up,SRA+NVA (Renewal),On Track,9/8 - Wrap up 9/15,5/30/2023,,6/5/23,6/27/23,7/7/23,6/23/23,7/11/23,Not Applicable,8/9/23,9/8/23,9/15/23,,7/12/23,7/21/23,7/24/23,7/24/23,8/24/2023,8/24/2023,8/1/2023,8/16/2023,8/3/2023,8/3/2023,8/25/2023,,,9/1/2023,9/8/2023,9/15/2023,75,9,22,9,25,6,7/3/2023,9/15/2023,74,8/9/2023,9/15/2023,37,
9753,,,,,Northwest Specialty Hospital,Joe,Jordan,Jordan,NA,Billed/Set Up,SRA,On Track,9/11 - Wrap Up scheduled for 9/28,7/24/2023,,7/27/23,8/1/23,8/11/23,7/27/23,8/23/23,Not Applicable,8/30/23,9/11/23,9/28/23,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,Not Applicable,Not Applicable,Not Applicable,46,9,6,NA,NA,NA,8/24/2023,9/28/2023,35,,,,
,,,,,Totals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,14,16,9,25,28,,,65,,,63,
,,,,,Q4 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9294,,,,,"James J Caserio MD, PA (Remote)",Joe,Jordan,Jordan,NA,Billed/Set Up,SRA,On Track,10/6 - SRA Review 10/13,7/24/2023,,8/4/23,7/28/23,9/6/23,8/18/23,9/29/23,Not Applicable,10/3/23,10/6/23,10/13/23,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,Not Applicable,Not Applicable,Not Applicable,51,29,3,NA,NA,NA,9/1/2023,10/13/2023,42,,,,
